ponto;O1intact_rock_strength;O2intact_rock_strength;O3intact_rock_strength;O4intact_rock_strength;O5intact_rock_strength;O6intact_rock_strength;O1weathering;O2weathering;O3weathering;O4weathering;O5weathering;O1discontinuity_spacing;O2discontinuity_spacing;O3discontinuity_spacing;O4discontinuity_spacing;O1discontinuity_persistence;O2discontinuity_persistence;O3discontinuity_persistence;O4discontinuity_persistence;O1discontinuity_aperture;O2discontinuity_aperture;O3discontinuity_aperture;O4discontinuity_aperture;N1presence_of_water;classification
1556;0;0;0;1;1;1;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;class_III
1557;0;0;0;1;1;1;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;class_III
1558;0;0;0;1;1;1;0;0;0;1;1;0;1;1;1;0;1;1;1;0;0;1;1;0;class_II
1559;0;0;0;0;1;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;class_III
1560;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;class_III
1561;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;class_III
1562;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;class_III
1563;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;class_III
1564;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;0;1;1;0;0;0;0;0;class_III
1565;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;1;0;class_III
1566;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;0;class_III
1567;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;class_III
1568;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;1;0;class_III
1569;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1;1;1;0;class_III
1570;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;1;0;class_III
1571;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;1;0;class_III
1572;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;1;0;class_III
1573;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;1;1;1;0;class_II
1574;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;1;1;1;0;0;0;1;0;class_II
1575;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;0;class_III
1576;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;class_II
1577;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;1;1;1;0;0;1;1;0;class_II
1578;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;class_III
1579;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;0;0;0;0;0;class_III
1580;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;class_III
1581;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;class_III
1582;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;class_III
1583;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;class_III
1584;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;class_III
1585;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;class_III
1586;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;class_III
1587;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;class_II
1588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;0;class_III
1589;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;class_II
1590;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;class_III
1591;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;1;0;class_III
1592;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;1;0;class_III
1593;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;1;0;class_III
1594;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;1;0;class_III
1595;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;1;0;class_III
1596;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;1;0;class_III
1597;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;1;0;class_III
1598;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;1;0;class_III
1599;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;1;0;class_III
1600;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;1;0;class_III
1601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;class_III
1602;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;class_III
1603;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;class_III
1604;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;1;0;class_III
1605;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;1;0;class_III
1606;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;class_III
1607;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;class_III
1608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;class_III
1609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;class_III
1610;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;1;0;class_III
1611;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;class_III
1612;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;1;0;class_III
1613;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;1;0;class_III
1614;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;1;0;class_III
1615;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;class_III
1616;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;1;0;class_III
1617;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;0;class_II
1618;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;0;class_II
1619;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;1;0;class_III
1620;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;1;1;0;class_III
1621;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;1;1;0;class_III
1622;0;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;class_III
1623;0;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;class_III
1624;0;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;1;1;0;0;1;1;0;class_III
1625;0;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;1;1;0;0;1;1;0;class_III
1626;0;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;class_III
1627;0;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;class_III
1628;0;0;0;1;1;1;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;class_III
1629;0;0;0;1;1;1;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;class_III
1630;0;0;0;1;1;1;0;0;1;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;class_III
1631;0;0;0;1;1;1;0;0;1;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;class_III
